id	email	latitude	longitude	timestamp
34	user1	37.9685086	23.7665344	2015-03-27 18:23:39
35	user2	37.977378	23.773907	2015-03-27 18:25:19
37	user1	37.9685049	23.7665195	2015-03-27 18:29:04
38	user1	37.9684983	23.7666484	2015-03-27 18:29:48
39	user1	37.9684939	23.7665534	2015-03-27 18:31:19
46	user3	38.0363535	23.8384733	2015-03-27 19:02:05
47	user3	38.035783637594385	23.83825549604432	2015-03-27 19:02:44
48	user3	38.03575597561606	23.83849666109022	2015-03-27 19:03:06
51	user1	37.9684958	23.766791	2015-03-27 19:13:54
53	user1	37.9684822	23.7667455	2015-03-27 19:22:27
54	user1	37.9685385	23.766576	2015-03-27 19:22:49
55	user0	37.954084	23.7232856	2015-03-27 19:26:48
57	user1	37.9679717	23.7638507	2015-03-27 19:30:01
64	user1	38.013876	23.7546977	2015-03-27 19:54:04
65	user1	38.013944669398825	23.754309083577073	2015-03-27 19:55:23
66	user1	38.0138952	23.7546903	2015-03-27 20:05:21
67	user1	38.0138031	23.7546803	2015-03-27 20:11:26
71	user6	38.0126611	23.7538907	2015-03-27 21:51:25
72	user6	38.01277559	23.75378763	2015-03-27 21:51:44
73	user6	38.01267707	23.75369625	2015-03-27 21:52:04
74	user6	38.01270955	23.75357837	2015-03-27 21:52:24
76	user8	37.983299	23.733299	2015-03-28 06:02:27
79	user10	37.9366633	23.6450926	2015-03-28 13:06:39
80	user10	37.936729	23.6449985	2015-03-28 13:09:21
81	user10	37.9366552	23.6450738	2015-03-28 13:10:00
82	user10	37.9366569	23.644948	2015-03-28 13:20:23
83	user10	37.9366011	23.645065	2015-03-28 13:21:24
84	user10	37.9366931	23.645036	2015-03-28 13:22:43
85	user10	37.9366578	23.6451444	2015-03-28 13:23:46
86	user10	37.9366124	23.6449777	2015-03-28 13:25:06
87	user10	37.9366857	23.6450566	2015-03-28 13:26:24
88	user10	37.936623	23.6449565	2015-03-28 13:29:29
89	user10	37.9366229	23.6451005	2015-03-28 13:30:11
90	user10	37.9366353	23.6449623	2015-03-28 13:38:38
91	user10	37.9366366	23.6451142	2015-03-28 13:39:17
92	user10	37.9366531	23.6450015	2015-03-28 13:44:24
93	user10	37.9365594	23.6450751	2015-03-28 13:46:04
94	user10	37.9366634	23.6450026	2015-03-28 13:46:22
95	user10	37.9366204	23.6451069	2015-03-28 13:46:44
96	user10	37.936695	23.6449994	2015-03-28 13:47:05
97	user10	37.9366485	23.6451169	2015-03-28 13:48:25
98	user10	37.9365821	23.6450016	2015-03-28 13:55:50
99	user10	37.9366784	23.6450272	2015-03-28 13:56:11
100	user10	37.9366302	23.645177	2015-03-28 13:59:28
101	user10	37.9366604	23.6450347	2015-03-28 14:01:13
102	user10	37.9365611	23.6450583	2015-03-28 14:01:32
103	user10	37.9366532	23.6450588	2015-03-28 14:02:10
105	user10	37.9366985	23.6451745	2015-03-28 14:30:24
106	user12	37.94221033	23.72432388	2015-03-28 14:30:56
107	user10	37.9366847	23.6450345	2015-03-28 14:31:16
108	user10	37.9365923	23.6450456	2015-03-28 14:34:11
109	user10	37.9366886	23.6450632	2015-03-28 14:35:50
110	user10	37.9366203	23.6449797	2015-03-28 14:37:51
111	user10	37.9366428	23.6451016	2015-03-28 14:39:51
112	user10	37.9366909	23.644986	2015-03-28 14:43:12
113	user10	37.936632	23.6451074	2015-03-28 14:46:32
114	user10	37.9367325	23.6451632	2015-03-28 14:47:14
115	user10	37.9365849	23.6450756	2015-03-28 14:48:14
116	user1	38.013426	23.6793456	2015-03-28 15:05:17
117	user10	37.9435616	23.6483164	2015-03-28 15:06:31
118	user10	37.9437089	23.6481456	2015-03-28 15:07:28
119	user1	38.013305	23.6793427	2015-03-28 16:20:56
120	user1	38.0134459	23.6792733	2015-03-28 16:55:12
121	user1	38.013298	23.6793128	2015-03-28 16:56:28
122	user1	38.0134371	23.6792936	2015-03-28 16:56:50
123	user1	38.013332	23.6793292	2015-03-28 16:57:09
124	user1	38.0133207	23.6793582	2015-03-28 16:57:50
125	user1	38.0134371	23.6793046	2015-03-28 16:58:28
126	user1	38.0133416	23.6793515	2015-03-28 16:58:53
127	user1	38.0134256	23.6792751	2015-03-28 17:00:50
128	user1	38.0133316	23.6793132	2015-03-28 17:01:15
129	user1	38.0134914	23.6792673	2015-03-28 17:02:12
130	user1	38.0133382	23.6793004	2015-03-28 17:02:50
131	user1	38.0134885	23.6792577	2015-03-28 17:03:18
132	user1	38.0133474	23.6793196	2015-03-28 17:04:53
133	user1	38.0134954	23.6792546	2015-03-28 17:05:49
134	user1	38.0134002	23.6792787	2015-03-28 17:06:35
135	user1	38.0135032	23.679276	2015-03-28 17:07:49
136	user1	38.0133846	23.6793336	2015-03-28 17:10:43
137	user1	38.0134606	23.6792603	2015-03-28 17:11:30
138	user1	38.013339	23.6793183	2015-03-28 17:11:49
139	user1	38.0134627	23.6792742	2015-03-28 17:12:12
140	user1	38.013459	23.6792589	2015-03-28 17:13:21
141	user1	38.0134478	23.6792706	2015-03-28 17:14:00
142	user1	38.0133814	23.6793542	2015-03-28 17:15:56
143	user1	38.0134803	23.6792633	2015-03-28 17:16:15
144	user1	38.0133697	23.6792977	2015-03-28 17:21:19
145	user1	38.0135006	23.6792642	2015-03-28 17:22:49
146	user1	38.0134766	23.6792542	2015-03-28 17:27:15
147	user1	38.0133734	23.6792606	2015-03-28 17:28:27
148	user1	38.013366	23.6792825	2015-03-28 17:29:34
149	user1	38.0133111	23.6792808	2015-03-28 17:30:16
150	user1	38.0134575	23.6792768	2015-03-28 17:31:06
152	user1	38.0133659	23.679273	2015-03-28 17:37:22
153	user1	38.0134782	23.6792568	2015-03-28 17:38:17
154	user1	38.0133762	23.6792776	2015-03-28 17:39:08
155	user1	38.0134806	23.6792779	2015-03-28 17:39:59
156	user1	38.0132954	23.6793237	2015-03-28 17:41:12
157	user1	38.0134374	23.6792869	2015-03-28 17:41:26
158	user1	38.0135337	23.6792605	2015-03-28 17:51:11
159	user1	38.0132989	23.6792863	2015-03-28 17:54:49
160	user1	38.0135137	23.6792464	2015-03-28 17:55:30
161	user1	38.0133367	23.6792924	2015-03-28 17:56:02
