id	email	level	plugged	temperature	voltage	timestamp
121	user0	64	0	212	3853	2015-03-27 17:33:16
122	user0	64	0	219	3839	2015-03-27 17:33:56
123	user0	64	0	225	3872	2015-03-27 17:34:56
124	user0	64	0	230	3815	2015-03-27 17:35:56
133	user1	87	2	334	4232	2015-03-27 18:17:50
134	user1	87	2	338	4250	2015-03-27 18:18:30
135	user1	30	2	380	3780	2015-03-27 18:23:38
136	user1	30	2	371	3738	2015-03-27 18:23:58
137	user1	30	2	384	3788	2015-03-27 18:24:38
138	user2	99	1	0	0	2015-03-27 18:25:10
139	user1	30	2	372	3785	2015-03-27 18:25:18
141	user1	30	2	379	3803	2015-03-27 18:25:58
142	user1	30	2	371	3818	2015-03-27 18:26:38
143	user1	30	2	364	3811	2015-03-27 18:27:18
144	user1	30	2	365	3830	2015-03-27 18:27:58
145	user1	30	2	362	3771	2015-03-27 18:29:04
146	user1	30	2	375	3795	2015-03-27 18:29:46
147	user1	31	2	380	3813	2015-03-27 18:30:24
148	user1	31	2	383	3716	2015-03-27 18:31:18
151	user1	86	2	347	4088	2015-03-27 18:46:03
152	user1	86	2	352	4184	2015-03-27 18:46:25
153	user1	86	2	361	4225	2015-03-27 18:47:23
155	user1	86	2	364	4201	2015-03-27 18:48:23
156	user1	86	2	365	4224	2015-03-27 18:49:23
157	user1	86	2	367	4151	2015-03-27 18:50:26
159	user1	86	2	369	4230	2015-03-27 18:51:23
160	user1	86	2	369	4251	2015-03-27 18:52:23
161	user1	87	2	369	4253	2015-03-27 18:52:42
163	user3	66	0	239	3887	2015-03-27 19:02:02
164	user3	66	0	243	3800	2015-03-27 19:02:22
165	user3	66	0	243	3835	2015-03-27 19:03:02
167	user1	87	0	338	4084	2015-03-27 19:08:39
168	user1	87	0	344	4023	2015-03-27 19:09:17
170	user1	87	0	347	4063	2015-03-27 19:11:57
171	user1	86	0	349	4074	2015-03-27 19:12:44
172	user1	86	0	349	4035	2015-03-27 19:13:03
174	user1	86	0	351	4037	2015-03-27 19:13:23
175	user1	63	2	327	3835	2015-03-27 19:13:34
176	user4	44	0	254	3783	2015-03-27 19:16:07
178	user1	66	2	323	3932	2015-03-27 19:22:18
179	user1	66	2	328	3881	2015-03-27 19:22:36
181	user0	61	0	226	3779	2015-03-27 19:26:45
182	user0	61	0	232	3798	2015-03-27 19:27:05
183	user0	61	0	242	3792	2015-03-27 19:27:44
185	user1	68	2	340	3910	2015-03-27 19:29:56
190	user1	7	0	287	3670	2015-03-27 19:53:59
191	user1	6	0	310	3626	2015-03-27 19:56:18
192	user1	6	0	297	3672	2015-03-27 19:57:21
193	user1	6	0	295	3655	2015-03-27 19:57:59
194	user1	6	1	296	3672	2015-03-27 19:58:35
195	user1	6	1	297	3771	2015-03-27 19:59:30
196	user1	6	1	291	3788	2015-03-27 19:59:57
197	user1	6	1	285	3780	2015-03-27 20:01:02
198	user1	7	1	274	3798	2015-03-27 20:01:31
199	user1	7	1	277	3814	2015-03-27 20:02:32
200	user1	8	1	265	3831	2015-03-27 20:05:26
201	user1	9	1	268	3806	2015-03-27 20:05:49
202	user1	9	1	259	3808	2015-03-27 20:06:48
203	user1	9	1	265	3800	2015-03-27 20:06:51
204	user1	9	1	265	3813	2015-03-27 20:07:27
205	user1	10	1	256	3820	2015-03-27 20:08:08
206	user1	10	1	262	3811	2015-03-27 20:08:34
207	user1	10	1	253	3811	2015-03-27 20:09:04
208	user1	10	1	254	3836	2015-03-27 20:09:16
209	user1	10	1	265	3804	2015-03-27 20:09:42
210	user1	11	1	255	3819	2015-03-27 20:09:57
211	user1	11	1	263	3846	2015-03-27 20:10:28
212	user1	11	1	258	3845	2015-03-27 20:11:10
213	user1	11	1	259	3841	2015-03-27 20:11:37
214	user1	11	1	272	3816	2015-03-27 20:11:57
215	user1	12	1	255	3851	2015-03-27 20:12:32
216	user1	12	1	259	3830	2015-03-27 20:13:12
217	user1	12	1	268	3833	2015-03-27 20:13:35
218	user1	13	1	265	3856	2015-03-27 20:14:14
219	user1	13	1	260	3833	2015-03-27 20:14:49
220	user1	13	1	256	3836	2015-03-27 20:15:11
221	user1	13	1	265	3861	2015-03-27 20:15:53
222	user1	13	1	258	3839	2015-03-27 20:16:24
223	user1	14	1	264	3866	2015-03-27 20:16:51
224	user1	14	1	268	3841	2015-03-27 20:17:12
225	user1	14	1	267	3838	2015-03-27 20:17:32
226	user1	14	1	257	3842	2015-03-27 20:18:01
227	user1	14	1	272	3831	2015-03-27 20:18:35
228	user1	15	1	267	3832	2015-03-27 20:19:03
229	user1	15	1	271	3833	2015-03-27 20:19:19
230	user1	15	1	266	3835	2015-03-27 20:19:38
231	user1	15	1	263	3876	2015-03-27 20:20:34
232	user1	16	1	264	3852	2015-03-27 20:20:59
233	user1	16	1	260	3880	2015-03-27 20:21:40
234	user1	16	1	269	3846	2015-03-27 20:22:08
235	user1	17	1	258	3862	2015-03-27 20:23:12
236	user1	17	1	270	3890	2015-03-27 20:23:54
237	user1	17	1	263	3892	2015-03-27 20:24:37
238	user1	18	1	265	3871	2015-03-27 20:25:14
239	user1	18	1	266	3898	2015-03-27 20:27:01
240	user1	19	1	271	3903	2015-03-27 20:27:53
241	user1	19	1	272	3866	2015-03-27 20:28:23
242	user1	19	1	276	3901	2015-03-27 20:28:53
243	user1	20	1	268	3900	2015-03-27 20:29:34
244	user1	21	1	270	3901	2015-03-27 20:30:35
245	user1	21	1	268	3880	2015-03-27 20:30:55
246	user1	21	1	266	3886	2015-03-27 20:31:36
247	user1	22	1	263	3891	2015-03-27 20:32:17
248	user1	22	1	271	3895	2015-03-27 20:32:59
249	user5	66	0	282	3967	2015-03-27 20:33:19
250	user1	22	1	262	3899	2015-03-27 20:33:36
251	user1	23	1	274	3897	2015-03-27 20:33:56
252	user1	23	1	273	3884	2015-03-27 20:34:17
253	user1	23	1	278	3913	2015-03-27 20:34:56
254	user1	24	1	269	3920	2015-03-27 20:35:37
255	user1	24	1	265	3899	2015-03-27 20:36:16
256	user1	24	1	266	3903	2015-03-27 20:36:59
257	user6	85	0	272	4051	2015-03-27 20:37:27
258	user1	24	1	265	3925	2015-03-27 20:37:38
259	user1	24	1	273	3925	2015-03-27 20:38:20
260	user1	25	1	278	3916	2015-03-27 20:38:43
261	user6	84	0	298	4072	2015-03-27 20:39:25
262	user1	25	1	267	3898	2015-03-27 20:39:38
263	user1	26	1	268	3886	2015-03-27 20:40:24
264	user1	26	1	277	3896	2015-03-27 20:41:04
265	user1	26	1	279	3905	2015-03-27 20:41:44
266	user6	83	0	320	4020	2015-03-27 20:41:49
267	user1	82	0	302	4009	2015-03-27 20:42:34
268	user1	27	1	268	3897	2015-03-27 20:42:42
269	user1	82	0	303	3991	2015-03-27 20:42:54
270	user1	27	1	275	3923	2015-03-27 20:43:23
271	user1	82	0	309	3838	2015-03-27 20:43:54
272	user1	27	1	280	3910	2015-03-27 20:44:01
273	user6	82	0	310	4068	2015-03-27 20:44:35
274	user1	28	1	280	3931	2015-03-27 20:44:43
275	user1	82	0	312	3962	2015-03-27 20:44:54
276	user1	28	1	277	3908	2015-03-27 20:45:23
278	user1	29	1	281	3906	2015-03-27 20:46:01
279	user1	29	1	280	3897	2015-03-27 20:46:41
280	user6	81	0	324	4023	2015-03-27 20:46:48
281	user1	29	1	286	3933	2015-03-27 20:47:06
282	user1	30	1	282	3915	2015-03-27 20:47:43
283	user1	30	1	291	3929	2015-03-27 20:48:06
284	user1	30	1	298	3908	2015-03-27 20:50:32
285	user1	31	1	295	3907	2015-03-27 20:51:03
286	user1	31	1	295	3898	2015-03-27 20:51:27
287	user6	80	0	296	4050	2015-03-27 20:52:57
288	user1	33	1	295	3911	2015-03-27 20:55:59
289	user1	34	1	302	3873	2015-03-27 20:57:43
290	user1	34	1	301	3922	2015-03-27 20:58:15
291	user1	34	1	295	3931	2015-03-27 20:58:40
292	user1	34	1	288	3911	2015-03-27 20:59:11
293	user1	35	1	290	3917	2015-03-27 20:59:50
294	user6	79	0	278	4045	2015-03-27 21:00:28
295	user1	35	1	286	3933	2015-03-27 21:00:30
296	user1	35	1	280	3915	2015-03-27 21:00:51
297	user1	36	1	284	3920	2015-03-27 21:01:11
298	user1	36	1	287	3916	2015-03-27 21:01:50
299	user1	37	1	280	3923	2015-03-27 21:02:30
300	user1	37	1	282	3913	2015-03-27 21:02:51
301	user1	37	1	280	3941	2015-03-27 21:03:30
302	user1	37	1	280	3926	2015-03-27 21:04:25
303	user1	38	1	281	3930	2015-03-27 21:05:06
304	user1	38	1	281	3929	2015-03-27 21:05:46
305	user1	38	1	282	3953	2015-03-27 21:06:27
306	user1	38	1	277	3927	2015-03-27 21:06:51
307	user1	39	1	273	3953	2015-03-27 21:07:26
308	user1	39	1	287	3946	2015-03-27 21:07:51
309	user1	40	1	274	3948	2015-03-27 21:08:34
310	user1	40	1	276	3945	2015-03-27 21:08:58
311	user1	40	1	280	3958	2015-03-27 21:09:48
312	user1	41	1	268	3960	2015-03-27 21:10:27
313	user1	41	1	272	3937	2015-03-27 21:11:07
314	user6	78	0	270	4013	2015-03-27 21:11:17
315	user1	41	1	286	3948	2015-03-27 21:11:27
316	user1	43	1	281	3944	2015-03-27 21:14:46
317	user1	43	1	277	3939	2015-03-27 21:15:49
318	user6	77	0	267	4027	2015-03-27 21:16:09
319	user1	44	1	274	3944	2015-03-27 21:16:37
320	user1	44	0	305	3660	2015-03-27 21:16:56
321	user1	44	0	294	3778	2015-03-27 21:17:16
322	user1	44	0	301	3781	2015-03-27 21:17:37
323	user1	44	0	304	3762	2015-03-27 21:17:57
324	user6	76	0	280	3955	2015-03-27 21:19:34
325	user6	75	0	276	4010	2015-03-27 21:25:47
326	user6	74	0	280	3948	2015-03-27 21:33:52
327	user7	82	0	220	3925	2015-03-27 21:41:58
328	user7	82	0	240	3958	2015-03-27 21:42:18
329	user7	82	0	240	3961	2015-03-27 21:43:18
330	user6	73	0	263	3987	2015-03-27 21:44:07
331	user7	82	0	240	3973	2015-03-27 21:45:29
332	user7	82	0	240	3985	2015-03-27 21:46:45
333	user7	82	0	250	3947	2015-03-27 21:47:25
334	user7	81	0	250	3928	2015-03-27 21:49:01
335	user7	81	0	250	3972	2015-03-27 21:49:33
336	user6	72	0	288	3840	2015-03-27 21:51:23
337	user6	71	0	303	3891	2015-03-27 21:53:03
338	user7	81	0	250	3950	2015-03-27 21:53:09
339	user7	81	0	250	3959	2015-03-27 21:53:49
340	user7	81	0	250	3954	2015-03-27 21:54:56
341	user6	70	0	312	3842	2015-03-27 21:55:12
342	user7	81	0	250	3973	2015-03-27 21:55:43
343	user6	69	0	317	3903	2015-03-27 21:57:12
344	user6	68	0	323	3871	2015-03-27 21:59:45
345	user7	81	0	240	3941	2015-03-27 22:26:19
346	user7	81	0	240	3922	2015-03-27 22:26:58
347	user7	80	0	240	3942	2015-03-27 22:27:58
348	user7	80	0	240	3945	2015-03-27 22:28:58
349	user6	64	0	232	3920	2015-03-28 01:11:51
